ID,Mass,Bfld,Type
146241,1669366400.0,1.286612,Pre-Infall
149170,285126900000.0,6.4329925,Pre-Infall
149171,251410380000.0,13.133597,Pre-Infall
149173,75416035000.0,0.47385028,Pre-Infall
149178,18573971000.0,12.430705,Pre-Infall
149185,3144343800.0,3.8148615,Pre-Infall
149188,1528497700.0,2.403404,Pre-Infall
149189,10523830000.0,5.291499,Pre-Infall
149196,3797850400.0,2.1227455,Pre-Infall
152032,255932760000.0,1.2755613,Pre-Infall
152033,185906330000.0,2.2720163,Pre-Infall
152058,8230833000.0,2.723112,Pre-Infall
152063,3886790400.0,2.5127451,Pre-Infall
152067,1680935700.0,1.4230415,Pre-Infall
152079,1081577700.0,1.3944503,Pre-Infall
154494,318659230000.0,9.027999,Pre-Infall
154495,55947020000.0,5.0979214,Pre-Infall
154496,35128090000.0,11.072884,Pre-Infall
154497,33933402000.0,11.452582,Pre-Infall
154500,26827821000.0,11.825473,Pre-Infall
154512,1933569300.0,3.3959231,Pre-Infall
156816,32988340000.0,25.959171,Pre-Infall
158848,90212610000.0,0.94290805,Pre-Infall
158853,26869567000.0,1.3018286,Pre-Infall
158854,29614967000.0,3.867743,Pre-Infall
158856,2489289500.0,11.811447,Pre-Infall
158858,29243910000.0,4.9220552,Pre-Infall
158859,3974605600.0,4.415008,Pre-Infall
158860,3158289700.0,6.004153,Pre-Infall
158864,5303097300.0,3.909678,Pre-Infall
158871,3272954600.0,4.651499,Pre-Infall
161165,70078400000.0,3.877507,Pre-Infall
161177,7662784000.0,2.2387552,Pre-Infall
161179,5640695000.0,3.56858,Pre-Infall
161202,3040191000.0,5.525315,Pre-Infall
163676,100359180000.0,1.1791995,Pre-Infall
163678,11224359000.0,4.4138393,Pre-Infall
163683,15519767000.0,3.9359624,Pre-Infall
165728,319900880000.0,2.3600419,Pre-Infall
165731,15046911000.0,5.915679,Pre-Infall
165732,39722734000.0,11.270196,Pre-Infall
165733,17855300000.0,8.461562,Pre-Infall
165736,6643113000.0,5.7595654,Pre-Infall
165738,4706344000.0,3.4913259,Pre-Infall
165739,3803981600.0,3.8160715,Pre-Infall
165787,1309584100.0,2.7683303,Pre-Infall
168391,71820860000.0,1.4165648,Pre-Infall
168394,39749485000.0,3.4575896,Pre-Infall
168395,2932231400.0,16.194433,Pre-Infall
168399,7130218500.0,9.847365,Pre-Infall
168402,1969071200.0,3.94698,Pre-Infall
168404,11950682000.0,8.678137,Pre-Infall
168407,3800385500.0,6.527907,Pre-Infall
168450,1008749440.0,5.1331472,Pre-Infall
170542,70282740000.0,2.726402,Pre-Infall
170553,10179759000.0,6.4368234,Pre-Infall
172650,302962740000.0,5.3446627,Pre-Infall
172651,205625740000.0,1.0700773,Pre-Infall
172655,15249467000.0,2.7980618,Pre-Infall
172657,11660546000.0,3.780197,Pre-Infall
172659,20487733000.0,8.736852,Pre-Infall
172661,19664560000.0,2.6475127,Pre-Infall
172662,5403949000.0,6.6536,Pre-Infall
172663,3494890500.0,4.6568313,Pre-Infall
172688,1072857800.0,3.5054905,Pre-Infall
172733,1242169000.0,8.96857,Pre-Infall
175239,254932800000.0,3.0007958,Pre-Infall
175240,222708650000.0,0.529515,Pre-Infall
175241,40443840000.0,0.77068496,Pre-Infall
175242,28974141000.0,6.0134635,Pre-Infall
175244,50642674000.0,1.2723198,Pre-Infall
175245,28660177000.0,3.1908276,Pre-Infall
175247,10710266000.0,2.353247,Pre-Infall
175248,11542750000.0,6.010181,Pre-Infall
175249,7249580500.0,8.474952,Pre-Infall
175251,17551116000.0,13.761935,Pre-Infall
175253,9205980000.0,2.153681,Pre-Infall
175255,4922200600.0,2.9897778,Pre-Infall
175257,4052592400.0,3.7679803,Pre-Infall
175258,2466630700.0,3.4039142,Pre-Infall
175260,1111078500.0,2.013676,Pre-Infall
175261,1216070900.0,38.55743,Pre-Infall
175263,1257381100.0,7.8704796,Pre-Infall
175295,1112561700.0,7.292576,Pre-Infall
177723,15818155000.0,6.6704245,Pre-Infall
177724,9408005000.0,6.9447465,Pre-Infall
177726,9143557000.0,8.665343,Pre-Infall
177729,12500127000.0,2.0838718,Pre-Infall
177730,12352397000.0,2.6852047,Pre-Infall
177732,3394218000.0,5.008247,Pre-Infall
177733,2264786200.0,4.5389953,Pre-Infall
177735,3493806600.0,5.7415977,Pre-Infall
177739,6425511000.0,2.6180282,Pre-Infall
177740,2241428500.0,3.4458904,Pre-Infall
179887,187350420000.0,3.1870415,Pre-Infall
179890,60212937000.0,3.2134156,Pre-Infall
179893,17024475000.0,15.109332,Pre-Infall
179896,19718988000.0,8.025146,Pre-Infall
179897,17554743000.0,15.000951,Pre-Infall
179898,16970853000.0,6.3594728,Pre-Infall
